"Date","Topic.1","Topic.2","Topic.3"
"11-20",2740945,885089,0
"12-20",2898525,1068541,0
"01-21",3304732,1311247,0
"02-21",3350912,1237879,0
"03-21",3916758,1345387,0
"04-21",4092374,1315829,0
"05-21",4101242,1349221,42
"06-21",4035483,1313649,9272
"07-21",4225767,1431298,42196
"08-21",4294257,1505037,175017
"09-21",4345010,1476838,645416
"10-21",4904173,1673024,2576374
"11-21",4870539,1755301,13500356
"12-21",4825935,1907981,25574387
"01-22",5309952,2029869,36544240
"02-22",4883323,1868802,36359248
"03-22",5407205,2272229,38816640
"04-22",5133939,2337846,36689437
"05-22",5182521,2515166,40199817
"06-22",4939428,2253284,41297364
"07-22",5142661,2283973,41043941
"08-22",5031394,2344233,37719422
"09-22",4903214,2419203,35597632
"10-22",5196471,2412537,35630246
"11-22",5155360,2426704,33245886
