Date ,Topic-1,Topic-2,Topic-3
Nov-20,2740945,885089,0
Dec-20,2898525,1068541,0
Jan-21,3304732,1311247,0
Feb-21,3350912,1237879,0
Mar-21,3916758,1345387,0
Apr-21,4092374,1315829,0
May-21,NA,1349221,42
Jun-21,4035483,1313649,NA
Jul-21,4225767,1431298,42196
Aug-21,4294257,1505037,175017
Sep-21,4345010,1476838,645416
Oct-21,4904173,1673024,2576374
Nov-21,4870539,NA,13500356
Dec-21,4825935,1907981,25574387
Jan-22,5309952,2029869,36544240
Feb-22,4883323,1868802,36359248
Mar-22,5407205,2272229,38816640
Apr-22,5133939,2337846,36689437
May-22,5182521,2515166,40199817
Jun-22,4939428,2253284,41297364
Jul-22,5142661,2283973,41043941
Aug-22,NA,2344233,37719422
Sep-22,4903214,2419203,35597632
Oct-22,5196471,2412537,35630246
Nov-22,5155360,2426704,33245886
